,Season,Name,Last Name,Followers(k),Age,City,State,Country,Occupation,Outcome,Elimination_Week,Place,Note,Was_Bachelorette
0,18,Christy,Hansen,0.148,24.0,Aurora,Illinois,USA,Marketing Manager,Week 3,3,14.0,,0
1,19,Reegan,Cornwell,0.566,28.0,Manhattan Beach,California,USA,Cadaver Tissue Saleswoman,Week 1,1,24.0,,0
2,18,Amy,Jokinen,0.64,31.0,Apopka,Florida,USA,Massage Therapist,Week 1,1,19.0,,0
3,18,Ashley,Poe,0.673,25.0,Roanoke,Texas,USA,Grade School Teacher,Week 1,1,19.0,,0
4,19,Nikki,Delventhal,0.807,26.0,Hasbrouck Heights,New Jersey,USA,Former NFL Cheerleader,Week 4,4,12.0,,0
5,18,Valerie,Eredia,1.042,26.0,Sutter,California,USA,Personal Trainer,Week 1,1,19.0,,0
6,19,Michelle,Davis,1.049,25.0,Provo,Utah,USA,Wedding Cake Baker,Week 1,1,24.0,,0
7,21,Susannah,Milan,1.097,26.0,San Diego,California,USA,Account Manager,Week 1,1,23.0,,0
8,19,Kimberly,Sherbach,1.126,28.0,Wantagh,New York,USA,Yoga Instructor,Week 2,2,19.0,,0
9,18,Maggie,Gantt,1.141,25.0,Wagener,South Carolina,USA,Personal Banker,Week 1,1,19.0,,0
10,18,Christine,Llano,1.173,23.0,Miami,Florida,USA,Police Support Specialist,Week 1,1,19.0,,0
11,19,Kara,Wilson,1.377,25.0,Brownsville,Kentucky,USA,High School Soccer Coach,Week 1,1,24.0,,0
12,21,Ida Marie,DeLosSantos,1.532,23.0,Harlingen,Texas,USA,Sales Manager,Week 1,1,23.0,,0
13,19,Tracy,Darakis,1.627,29.0,Wellington,Florida,USA,Fourth Grade Teacher,Week 3,3,16.0,,0
14,21,Jasmine,Brown,1.67,25.0,Tacoma,Washington,USA,Flight Attendant,Week 1,1,23.0,,0
15,20,Laura,Esselman,1.673,24.0,Louisville,Kentucky,USA,Account Executive,Week 1,1,22.0,,0
16,21,Briana,Guertler,1.705,28.0,Salt Lake City,Utah,USA,Surgical Unit Nurse,Week 1,1,23.0,,0
17,18,Chantel,Forrest,1.749,27.0,Miami,Florida,USA,Account Manager,Week 2,2,16.0,,0
18,21,Michelle,Ramkissoon,1.829,24.0,Los Angeles,California,USA,Food Truck Owner,Week 1,1,23.0,,0
19,18,Lauren,Higginson,1.861,25.0,Edmond,Oklahoma,USA,Mineral Coordinator,Week 1,1,19.0,,0
20,21,Angela,Amezcua,1.9,26.0,Cumberland,Maryland,USA,Model,Week 1,1,23.0,,0
21,19,Trina,Scherenberg,2.473,33.0,Algonquin,Illinois,USA,Special Education Teacher,Week 3,3,16.0,,0
22,20,Lauren,Russell,2.636,26.0,Houston,Texas,USA,Math Teacher,Week 1,1,22.0,,0
23,18,Danielle,Ronco,3.026,25.0,Litchfield,Illinois,USA,Psychiatric Nurse,Week 5,5,9.0,,0
24,20,Mandi,Kremer,3.25,28.0,Portland,Oregon,USA,Dentist,Week 2,2,18.0,,0
25,20,Samantha,Passmore,3.39,26.0,New Smyrna Beach,Florida,USA,Attorney,Week 2,2,18.0,,0
26,21,Olivia,Burnette,3.551,25.0,Anchorage,Alaska,USA,Apparel Sales Representative,Week 1,1,23.0,,0
27,18,Kylie,Lewis,3.601,23.0,Rockford,Illinois,USA,Interior Designer,Week 1,1,19.0,,0
28,20,Tiara,Soleim,3.732,27.0,Redmond,Washington,USA,Chicken Enthusiast,Week 1,1,22.0,,0
29,20,Jessica,Moser,3.921,23.0,Boca Raton,Florida,USA,Accountant,Week 1,1,22.0,,0
30,19,Tandra,Steiner,4.313,30.0,Sandy,Utah,USA,Executive Assistant,Week 2,2,19.0,,0
31,19,Alissa,Giambrone,4.358,24.0,Hamilton,New Jersey,USA,Flight Attendant,Week 2,2,19.0,,0
32,19,Kelsey,Poe,5.439,28.0,Hudsonville,Michigan,USA,Guidance Counselor,Week 6,6,8.0,,0
33,18,Alexis,Morgado,5.587,24.0,Tampa,Florida,USA,Communications Director/NHL Ice Girl,Week 1,1,19.0,,0
34,21,Hailey,Merkt,5.84,23.0,Vancouver,British Columbia,Canada,Photographer,Week 2,2,19.0,,0
35,18,Alli,Restko,6.05,26.0,Orland Park,Illinois,USA,Nanny,Week 5,5,9.0,,0
36,21,Dominique,Alexis,6.814,25.0,Los Angeles,California,USA,Restaurant Server,Week 3,3,18.0,,0
37,21,Liz,Sandoz,6.887,29.0,Scottsbluff,Nebraska,USA,Doula,Week 2,2,22.0,,0
38,21,Jaimi,King,7.335,28.0,New Orleans,Louisiana,USA,Chef,Week 5,5,10.0,,0
39,21,Elizabeth,Whitelaw,7.375,24.0,New Trier,Illinois,USA,Marketing Manager,Week 2,2,19.0,,0
40,19,Tara,Eddings,7.464,26.0,Fort Lauderdale,Florida,USA,Sport Fishing Enthusiast,Week 2,2,19.0,,0
41,21,Lauren,Hussey,7.551,30.0,Naples,Florida,USA,Law School Graduate,Week 1,1,23.0,,0
42,18,Amy,Long,8.87,27.0,Clermont,Florida,USA,Local News Reporter,Week 2,2,16.0,,0
43,20,Breanne,Rice,9.417,30.0,Seattle,Washington,USA,Nutritional Therapist,Week 1,1,22.0,,0
44,20,Jami,Letain,10.4,23.0,St. Albert,Alberta,Canada,Bartender,Week 3,3,15.0,,0
45,18,Lauren,Solomon,11.1,26.0,Austin,Texas,USA,Music Composer,Week 4,4,12.0,,0
46,21,Lacey,Mark,11.5,25.0,Towaco,New Jersey,USA,Digital Marketing Manager,Week 2,2,19.0,,0
47,19,Jordan,Branch,11.9,24.0,Windsor,Colorado,USA,Student,Week 2,2,19.0,,0
48,18,Kat,Hurd,13.023,29.0,Iowa City,Iowa,USA,Medical Sales Representative/NBA Dancer,Week 6,6,7.0,,0
49,20,Shushanna,Mkrtychyan,13.4,27.0,Salt Lake City,Utah,USA,Mathematician,Week 3,3,15.0,,0
50,21,Brittany,Farrar,15.3,26.0,Santa Monica,California,USA,Travel Nurse,Week 3,3,16.0,,0
51,20,Rachel,Tchen,16.7,23.0,Little Rock,Arkansas,USA,Unemployed,Week 4,4,12.0,,0
52,21,Josephine,Tutman,18.6,24.0,Santa Cruz,California,USA,Registered Nurse,Week 5,5,10.0,,0
53,20,LB,Barr,20.3,23.0,Stillwater,Oklahoma,USA,Fashion Buyer,Week 2,2,21.0,quit,0
54,18,Chelsie,Webster,22.898,24.0,Lexington,Ohio,USA,Science Educator,Week 7,7,5.0,,0
55,18,Victoria,Lima,25.9,24.0,Porto Alegre,,Brazil,Legal Assistant,Week 2,2,18.0,,0
56,19,Amber,James,28.6,29.0,Kankakee,Illinois,USA,Bartender,Week 3,3,16.0,,0
57,20,Amber,James,28.6,30.0,Kankakee,Illinois,USA,Bartender,Week 4,4,12.0,,0
58,18,Elise,Mosca,29.248,27.0,Forty Fort,Pennsylvania,USA,First Grade Teacher,Week 4,4,12.0,,0
59,21,Jasmine,Goode,31.0,29.0,Maplewood,New Jersey,USA,Pro Basketball Dancer,Week 6,6,9.0,,0
